Student_ID,Name,Gender,School,Attendance(%),Math_Score,Science_Score,Engineering_Score,Technology_Score,Overall_Average
S001,Student_1,Male,School_B,68,78,46,46,55,56.25
S002,Student_2,Male,School_D,86,91,98,42,90,80.25
S003,Student_3,Female,School_B,61,68,90,56,76,72.5
S004,Student_4,Female,School_A,64,54,61,72,61,62.0
S005,Student_5,Male,School_B,88,82,67,87,96,83.0
S006,Student_6,Female,School_C,96,47,41,51,68,51.75
S007,Student_7,Male,School_C,97,60,81,98,53,73.0
S008,Student_8,Male,School_D,78,78,84,90,67,79.75
S009,Student_9,Male,School_A,67,97,96,61,44,74.5
S010,Student_10,Male,School_C,60,58,92,94,86,82.5
S011,Student_11,Female,School_C,81,62,45,61,88,64.0
S012,Student_12,Female,School_A,76,50,67,85,69,67.75
S013,Student_13,Female,School_B,66,50,67,69,85,67.75
S014,Student_14,Male,School_B,84,63,83,77,91,78.5
S015,Student_15,Female,School_D,63,92,83,77,44,74.0
S016,Student_16,Male,School_B,95,75,59,84,51,67.25
S017,Student_17,Female,School_A,65,79,69,90,55,73.25
S018,Student_18,Male,School_C,90,63,50,93,65,67.75
S019,Student_19,Male,School_B,78,42,97,47,65,62.75
S020,Student_20,Male,School_D,98,61,94,66,87,77.0
S021,Student_21,Female,School_B,86,92,67,66,60,71.25
S022,Student_22,Female,School_A,69,41,64,73,78,64.0
S023,Student_23,Female,School_D,85,63,78,60,75,69.0
S024,Student_24,Female,School_B,78,83,72,69,72,74.0
S025,Student_25,Male,School_D,98,69,40,72,69,62.5
S026,Student_26,Female,School_A,62,77,96,67,76,79.0
S027,Student_27,Female,School_C,72,41,66,86,62,63.75
S028,Student_28,Male,School_A,87,99,96,72,97,91.0
S029,Student_29,Male,School_A,79,60,91,44,49,61.0
S030,Student_30,Male,School_A,87,72,52,99,93,79.0
S031,Student_31,Female,School_A,67,51,80,87,44,65.5
S032,Student_32,Male,School_C,98,97,42,58,75,68.0
S033,Student_33,Male,School_C,60,61,78,43,73,63.75
S034,Student_34,Male,School_D,62,83,45,74,91,73.25
S035,Student_35,Female,School_B,72,64,47,88,70,67.25
S036,Student_36,Male,School_C,87,88,66,56,49,64.75
S037,Student_37,Female,School_C,84,66,48,83,97,73.5
S038,Student_38,Female,School_B,92,98,76,67,58,74.75
S039,Student_39,Male,School_C,97,81,72,69,97,79.75
S040,Student_40,Male,School_A,65,67,90,68,71,74.0
S041,Student_41,Female,School_A,91,99,81,85,40,76.25
S042,Student_42,Male,School_B,80,55,83,92,95,81.25
S043,Student_43,Male,School_D,75,54,63,45,44,51.5
S044,Student_44,Female,School_D,80,86,54,74,84,74.5
S045,Student_45,Female,School_B,70,90,98,99,43,82.5
S046,Student_46,Male,School_B,96,83,93,80,55,77.75
S047,Student_47,Female,School_A,95,94,71,76,63,76.0
S048,Student_48,Male,School_D,94,91,71,63,55,70.0
S049,Student_49,Male,School_C,78,96,63,68,94,80.25
S050,Student_50,Male,School_A,79,42,80,88,41,62.75
S051,Student_51,Female,School_B,77,76,91,85,88,85.0
S052,Student_52,Male,School_D,73,90,88,92,67,84.25
S053,Student_53,Male,School_C,74,46,88,70,71,68.75
S054,Student_54,Male,School_C,90,60,97,74,66,74.25
S055,Student_55,Female,School_A,60,48,91,99,59,74.25
S056,Student_56,Female,School_D,62,78,51,72,63,66.0
